Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2009-03-31,PerthAirport,13,25.8,0,5,8.1,SW,48,SSW,WSW,22,31,67,43,1017.3,1015.1,7,1,19.8,24,No,0,No
2009-04-01,PerthAirport,11.4,24.4,0,4,9.5,SSE,41,S,SW,15,11,55,26,1023.6,1019.8,2,NA,16.7,23.9,No,0,No
2009-04-02,PerthAirport,9.4,26.2,0,5.8,10.1,E,41,WSW,SSW,7,20,50,25,1025.5,1022.4,5,1,17.4,25.7,No,0,No
2009-04-03,PerthAirport,13.8,28.1,0,5.6,10.8,E,57,E,ENE,35,24,54,25,1027.8,1024.7,1,0,17.7,27.2,No,0,No
2009-04-04,PerthAirport,14.6,29.2,0,6.4,10.3,E,52,ENE,ESE,26,19,47,20,1028.5,1024.5,4,2,18.4,28,No,0,No
2009-04-05,PerthAirport,13.9,27.9,0,7,10.8,E,52,E,E,26,24,51,22,1028.8,1023.7,1,0,18.7,27.4,No,0,No
2009-04-06,PerthAirport,14.7,29.2,0,8.4,10.9,ENE,48,E,E,20,24,49,18,1025.4,1020,1,1,19.3,28.8,No,0,No
2009-04-07,PerthAirport,17.2,31.6,0,7.4,10.4,ENE,44,NE,NE,31,13,36,17,1022.4,1018.1,0,1,23.3,31,No,0,No
2009-04-08,PerthAirport,17.4,33.6,0,7.4,10,NNE,35,ENE,WSW,19,20,25,12,1019.3,1016.1,7,5,24.8,32.9,No,0,No
2009-04-09,PerthAirport,14.6,34,0,7.2,9.7,E,54,E,NA,17,NA,27,NA,1017.9,NA,2,NA,24.3,NA,No,0,No
2009-04-10,PerthAirport,17.2,35.5,0,7.8,10.5,E,57,ENE,NNE,31,17,52,15,1016.1,1011.3,1,2,20.8,34.6,No,0,No
2009-04-11,PerthAirport,14.1,31.1,0,5.6,10,SW,30,NNE,WSW,9,17,61,54,1014.3,1011.8,5,7,21.3,27.6,No,0,No
2009-04-12,PerthAirport,15.6,34.2,0,6.8,10.6,ENE,67,NE,ENE,24,37,23,4,1016.2,1012.4,1,1,25.4,33.8,No,0,No
2009-04-13,PerthAirport,20.8,24.6,0,12.2,0.1,E,70,ENE,SE,35,9,47,59,1013.4,1012.4,7,8,22.1,21.6,No,6.2,Yes
2009-04-14,PerthAirport,15.3,28.2,6.2,3.8,8,SE,50,NE,ESE,6,19,63,38,1015.9,1013.9,3,3,20.4,27.2,Yes,0,No
2009-04-15,PerthAirport,14.3,26.9,0,4.8,10.5,E,41,E,S,20,15,54,37,1018.9,1014.8,1,0,17.8,25.9,No,0,No
2009-04-16,PerthAirport,13.8,28.6,0,6,10.6,E,35,E,SSE,17,9,53,34,1016.5,1012.2,0,1,17.9,27.4,No,0,No
2009-04-17,PerthAirport,13.6,29.9,0,4.6,8.3,E,37,ENE,WSW,19,22,46,38,1013.8,1011.5,1,3,21.2,28.9,No,0,No
2009-04-18,PerthAirport,16.2,25.6,0,5.2,1.8,E,52,ENE,N,9,13,44,64,1015.1,1013.1,7,7,22.3,22.8,No,0.6,No
2009-04-19,PerthAirport,17,30,0.6,2.4,10.5,NE,31,ENE,WSW,19,24,58,45,1015.4,1012,0,1,22.5,27.1,No,0,No
2009-04-20,PerthAirport,13.3,27.9,0,4.6,10.7,W,30,NNE,W,2,22,73,48,1014.2,1010.8,0,1,19.4,26.7,No,0,No
2009-04-21,PerthAirport,13.9,30.6,0,4,10.5,SSW,33,ENE,W,7,17,43,32,1009.7,1005.8,1,1,23.8,29.5,No,0,No
2009-04-22,PerthAirport,12.1,22.1,0,5,8.4,SSW,56,S,SW,15,35,64,39,1012.3,1014.2,2,3,19.4,20.1,No,0,No
2009-04-23,PerthAirport,3.7,21.5,0,4.2,7.3,S,39,SSE,SW,7,19,54,37,1025,1022.4,7,1,14.7,21.2,No,0,No
2009-04-24,PerthAirport,9.2,23.2,0,4.4,6.2,SW,35,N,SW,4,26,71,56,1024.9,1022.2,5,5,16.5,21.7,No,0,No
2009-04-25,PerthAirport,11.8,23.1,0,2.8,7.2,S,31,ENE,SSW,6,17,61,49,1024.4,1021.9,2,5,19.2,21.8,No,0,No
2009-04-26,PerthAirport,7.5,26.3,0,3.2,9.4,W,31,S,WSW,6,22,68,46,1023.7,1019.9,1,6,18.1,24.5,No,0,No
2009-04-27,PerthAirport,11.9,28.9,0,3.2,9.3,W,30,ENE,WSW,17,22,49,31,1020.3,1018.2,0,3,19.3,26.4,No,0,No
2009-04-28,PerthAirport,11.4,28.5,0,5,10.1,E,39,E,E,20,20,58,31,1024.5,1020.7,0,0,19.4,27.7,No,0,No
2009-04-29,PerthAirport,16.4,26.5,0,6.2,3.8,ENE,39,NE,SSW,9,13,42,39,1020.7,1019.2,7,6,20,25.6,No,0,No
2009-04-30,PerthAirport,9.3,24.5,0,4.2,9.3,ESE,39,S,WSW,17,17,69,35,1025.4,1022.2,1,0,16.5,24.1,No,0,No
2009-05-01,PerthAirport,10.8,25.2,0,4.6,9.8,E,54,ENE,ESE,31,17,53,29,1028.4,1025,0,0,15.6,24.6,No,0,No
2009-05-02,PerthAirport,13.1,28.5,0,6.2,9.9,ENE,39,ENE,SW,20,7,40,23,1027.5,1023.6,0,1,17.5,27.9,No,0,No
2009-05-03,PerthAirport,10,27.4,0,4.2,7,E,33,ENE,E,15,9,40,20,1026.6,1023.5,6,7,18.4,26.7,No,0,No
2009-05-04,PerthAirport,11.4,28,0,4.4,9.9,ENE,33,ENE,NE,15,11,32,17,1026.4,1023.6,1,0,19.3,27,No,0,No
2009-05-05,PerthAirport,9.9,27.9,0,4,10,ENE,39,ENE,ENE,26,20,34,18,1028.8,1026,0,0,18.3,27.4,No,0,No
2009-05-06,PerthAirport,11.9,27.3,0,6.8,10,NE,37,ENE,SE,26,11,37,20,1030.3,1026.5,1,2,17.4,27.2,No,0,No
2009-05-07,PerthAirport,12.7,26,0,3.4,9.9,ENE,31,ENE,E,17,11,40,24,1029.2,1025.8,0,0,18.7,25.6,No,0,No
2009-05-08,PerthAirport,10,25.5,0,4.2,9.8,ENE,37,ENE,E,20,11,40,24,1029,1024.7,1,1,17.4,24.8,No,0,No
2009-05-09,PerthAirport,12.3,25.8,0,4.8,9.7,ENE,33,ENE,N,17,13,40,21,1025.3,1020.9,0,2,17.6,25.2,No,0,No
2009-05-10,PerthAirport,9.3,23.6,0,3.6,1.2,ENE,22,NNE,WSW,9,9,36,32,1020.5,1018.7,7,7,18.4,22.5,No,0,No
2009-05-11,PerthAirport,11.9,26.4,0,2.2,9.5,ESE,56,NW,W,4,22,52,36,1021.6,1019.5,1,1,19,25.1,No,0,No
2009-05-12,PerthAirport,14.2,24.6,0,5.4,9.5,E,67,E,ESE,17,20,61,29,1026.2,1023.6,1,1,16.5,24.1,No,0,No
2009-05-13,PerthAirport,12.2,24.9,0,4.8,9.4,E,54,E,ESE,20,9,63,31,1027.2,1023.4,1,2,17,23.1,No,0,No
2009-05-14,PerthAirport,9.4,24.6,0,4.4,9.5,E,33,ENE,WNW,20,11,52,27,1025.7,1021.7,0,1,15.3,23.7,No,0,No
2009-05-15,PerthAirport,8.4,25.6,0,3,9.6,WSW,30,NE,ENE,15,11,42,21,1023.6,1020,1,0,16.1,24.6,No,0,No
2009-05-16,PerthAirport,7,25.5,0,3.4,9.5,NE,31,NE,ENE,15,9,38,21,1022.2,1018.4,1,1,16,25,No,0,No
2009-05-17,PerthAirport,8.3,26.5,0,4.4,9.2,ENE,31,ENE,W,20,15,37,20,1018.3,1014.2,2,1,17,25.5,No,0,No
2009-05-18,PerthAirport,6,23.2,0,4.2,8.9,NW,30,N,W,9,15,48,49,1015.1,1013.5,2,1,14.6,22.2,No,0,No
2009-05-19,PerthAirport,9.2,24.4,0,2.6,8.8,WSW,31,WNW,WSW,11,17,69,55,1016.8,1014.8,1,1,16.4,22.7,No,0,No
2009-05-20,PerthAirport,12.6,27.2,0,2.4,8.1,NNW,41,NNE,NNW,13,26,85,32,1013.3,1007.4,3,1,16.6,26.4,No,10.8,Yes
2009-05-21,PerthAirport,14.8,23.2,10.8,3.2,2.5,NW,107,N,W,41,35,81,91,999.8,999.6,6,8,20.6,15.2,Yes,17.2,Yes
2009-05-22,PerthAirport,9.8,17.2,17.2,3.4,6.2,W,91,WNW,W,33,39,53,55,1003.3,1005.9,3,4,15.1,15.1,Yes,21.2,Yes
2009-05-23,PerthAirport,11,16.6,21.2,4,4,SSW,56,SW,SSW,11,30,93,58,1009.4,1009.9,7,2,13.6,15.2,Yes,0,No
2009-05-24,PerthAirport,3.1,19.2,0,2,9.3,WSW,22,NNE,WSW,7,7,76,45,1018.9,1017.2,1,3,10.7,18.6,No,0,No
2009-05-25,PerthAirport,6.2,19,0,1.8,7.3,ENE,37,ESE,ENE,2,20,65,37,1021.2,1017.8,2,6,11.2,18.8,No,0,No
2009-05-26,PerthAirport,9.6,22.3,0,2.2,9.4,ENE,54,NE,NE,24,24,48,27,1018.6,1015.9,2,3,14.2,21.9,No,0,No
2009-05-27,PerthAirport,12.5,22.1,0,4.4,5.4,ENE,50,ENE,E,20,22,51,32,1018.4,1015.9,7,5,14.5,21.5,No,0,No
2009-05-28,PerthAirport,13,23.2,0,5.2,7.2,ENE,46,ENE,ENE,26,22,52,30,1019,1016.8,2,1,14.8,22.8,No,0,No
2009-05-29,PerthAirport,12.4,23.8,0,4.6,9.3,ENE,41,ENE,NE,19,20,54,30,1020.4,1017.5,0,1,15.6,23.5,No,0,No
2009-05-30,PerthAirport,13.7,25.2,0,4.4,7.1,N,48,ENE,NE,24,13,55,39,1018.5,1015.8,7,7,16.2,24.2,No,0.4,No
2009-05-31,PerthAirport,13.6,24.3,0.4,2.4,4.9,ENE,26,E,SSE,15,11,65,44,1017.7,1015.5,7,6,16.9,23.2,No,0,No
2009-06-01,PerthAirport,13.9,25.3,0,2.2,8,E,37,ENE,NNE,15,15,71,37,1019.3,1015.6,6,1,15.9,25,No,3.4,Yes
2009-06-02,PerthAirport,12.2,22.9,3.4,2,7,ENE,26,ENE,WNW,17,15,91,60,1017.4,1015.5,7,3,15.4,21.1,Yes,0.6,No
2009-06-03,PerthAirport,9.4,20.3,0.6,1.6,6.1,SW,50,NE,W,9,24,94,68,1020,1017.5,4,3,12.8,18.8,No,2.2,Yes
2009-06-04,PerthAirport,7.3,18.2,2.2,1.8,8.2,SW,39,WNW,S,9,26,71,51,1022,1019,4,3,11.2,17.6,Yes,0,No
2009-06-05,PerthAirport,4.7,19.9,0,2.8,9.3,SSW,30,S,SSW,2,19,86,54,1022.9,1021.2,1,3,11.5,18.5,No,0,No
2009-06-06,PerthAirport,7.2,20.3,0,1.6,8.9,SSW,26,NE,S,15,17,79,48,1026.6,1024.7,1,1,13.2,19.2,No,0,No
2009-06-07,PerthAirport,4.2,17.7,0,1.8,9,SSW,26,NE,SSW,9,13,86,47,1027.6,1023.8,1,3,10.5,17,No,0,No
2009-06-08,PerthAirport,6.5,21,0,2.2,9.2,NNE,20,NE,NNW,11,9,70,40,1025,1021.8,2,2,12.6,20.3,No,0,No
2009-06-09,PerthAirport,8.5,23.3,0,1.8,8.9,NNE,35,NE,NNE,13,20,51,26,1019.7,1014.8,0,4,14.2,21.6,No,0.2,No
2009-06-10,PerthAirport,12.3,22.2,0.2,2,8.1,WNW,37,N,WNW,11,20,86,51,1013.2,1011.9,6,3,16.3,21.2,No,20.2,Yes
2009-06-11,PerthAirport,12.2,16.8,20.2,4.8,0.5,WSW,37,WNW,S,4,22,97,87,1011.8,1010.2,7,7,13.4,13.5,Yes,7.2,Yes
2009-06-12,PerthAirport,4.2,16.6,7.2,2.2,5.8,SW,22,NE,SSW,9,9,89,58,1018.4,1018.3,2,6,8.8,15.2,Yes,0,No
2009-06-13,PerthAirport,4.8,17.6,0,1.4,8.3,SSW,33,NNE,SSW,9,19,78,49,1025.2,1024.8,7,1,10.3,16.3,No,0,No
2009-06-14,PerthAirport,3.3,20.2,0,1.4,8.9,W,24,NNE,W,13,11,72,47,1028.4,1026.5,1,1,10.3,18.8,No,0,No
2009-06-15,PerthAirport,7.4,21.4,0,1.2,8.6,NE,26,NNE,WNW,11,13,77,39,1026.5,1023.5,1,1,12.1,20.7,No,0,No
2009-06-16,PerthAirport,4.7,21.1,0,2,7.7,N,28,N,NNE,9,15,73,30,1024.2,1020.7,1,3,11.3,20.3,No,0,No
2009-06-17,PerthAirport,5.7,21.4,0,1.4,8.7,NW,43,NNE,NNW,13,26,58,41,1020,1015.6,1,2,11.7,20.7,No,0,No
2009-06-18,PerthAirport,10.2,20.1,0,3.2,5.5,N,35,N,N,19,28,72,81,1014.7,1012.2,6,4,14.4,17.9,No,11,Yes
2009-06-19,PerthAirport,13.2,17,11,1,5.5,W,81,WNW,WSW,35,33,77,55,1005.3,1009.8,7,5,16.5,14.1,Yes,7.6,Yes
2009-06-20,PerthAirport,10.5,18.6,7.6,3.4,4.4,W,74,NW,WNW,13,30,78,63,1014.4,1011.8,6,4,14,17.3,Yes,19.6,Yes
2009-06-21,PerthAirport,10.5,15.6,19.6,5.4,5.8,W,50,S,SSW,17,24,74,49,1017.5,1017.5,7,4,11.2,14.3,Yes,0.2,No
2009-06-22,PerthAirport,4,16.6,0.2,1.2,4.3,ENE,31,ENE,NNE,15,11,66,47,1019.3,1016.1,7,5,9.3,15.7,No,0.8,No
2009-06-23,PerthAirport,9.2,14.8,0.8,2.4,0,NE,41,E,NE,20,17,74,91,1008.9,1006.3,7,8,11.2,11.9,No,7.6,Yes
